sample_id,Lead_(ppb),parcel_id,Date_Submitted,google_add,Latitude,Longitude,Owner_Type,Land_Value,Land_Improvements_Value,Residential_Building_Value,Residential_Building_Style,Commercial_Building_Value,Building_Storeys,Parcel_Acres,Rental,Use_Type,Prop_Class,Year_Built,USPS_Vacancy,Zoning,Future_Landuse,DRAFT_Zone,Housing_Condition_2012,Housing_Condition_2014,Commercial_Condition_2013,Hydrant_Type,Ward,PRECINCT,CENTRACT,CENBLOCK,SL_Type,SL_Type2,SL_Lead,Homestead,Homestead_Percent,HomeSEV
sample_000813,0.0,parcel_006162,2016-02-03 13:37:17,"1222 Ingleside Ave, Flint, MI 48507, USA",42.9837875,-83.696604,Private,1870,0,13003,ONE STORY,0.0,0,0.078,No,Residential,RI,1915,N,A2,Green Neighborhood,GN-2,Fair,Good, ,Dar,8,54,013500,3,1,0,0,Yes,100.0,3800
sample_016333,0.0,parcel_001630,2015-10-01 12:46:38,"605 Chandler Ave, Flint, MI 48503, USA",43.020649,-83.659871,Private,17877,0,138153,ONE STORY,0.0,0,0.115,No,Residential,RI,1946,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,7,45,003000,2,1,0,0,Yes,100.0,16300
sample_009197,0.0,parcel_001630,2016-01-20 12:58:46,"605 Chandler Ave, Flint, MI 48503, USA",43.020649,-83.659871,Private,17877,0,138153,ONE STORY,0.0,0,0.115,No,Residential,RI,1946,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,7,45,003000,2,1,0,0,Yes,100.0,16300
sample_012780,0.0,parcel_009430,2015-10-02 09:54:55,"3701 N Averill Ave, Flint, MI 48506, USA",43.0483303,-83.6463489,Private,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,A-2,Traditional Neighborhood,TN-2, , ,Good,T.C.,4,22,002400,2,0,0,0,No,0.0,0
sample_003624,0.0,parcel_003355,2015-10-02 09:54:58,"1359 Donaldson St, Flint, MI 48504, USA",43.029026,-83.731149,Private,1000,0,47343,ONE STORY,0.0,0,0.092,No,Residential,RI,1930,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,T.C.,6,34,001300,1,1,0,0,Yes,100.0,7100
sample_001524,5.0,parcel_003355,2016-01-26 12:20:49,"1359 Donaldson St, Flint, MI 48504, USA",43.029026,-83.731149,Private,1000,0,47343,ONE STORY,0.0,0,0.092,No,Residential,RI,1930,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,T.C.,6,34,001300,1,1,0,0,Yes,100.0,7100
sample_002370,0.0,parcel_008698,2015-10-02 09:55:19,"1001 Kensington Ave, Flint, MI 48503, USA",43.017107,-83.6659619,Private,27557,0,225625,TWO STORY,0.0,0,0.172,No,Residential,RI,1951,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,7,43,003000,3,1,0,0,Yes,100.0,0
sample_014910,0.0,parcel_008698,2016-02-06 11:40:12,"1001 Kensington Ave, Flint, MI 48503, USA",43.017107,-83.6659619,Private,27557,0,225625,TWO STORY,0.0,0,0.172,No,Residential,RI,1951,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,7,43,003000,3,1,0,0,Yes,100.0,0
sample_004386,0.0,parcel_008698,2016-02-06 11:42:48,"1001 Kensington Ave, Flint, MI 48503, USA",43.017107,-83.6659619,Private,27557,0,225625,TWO STORY,0.0,0,0.172,No,Residential,RI,1951,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,7,43,003000,3,1,0,0,Yes,100.0,0
sample_002768,0.0,parcel_006746,2015-10-02 09:55:22,"2309 Pierce St, Flint, MI 48503, USA",43.0178579,-83.659334,Private,16090,0,148900,CAPECOD,0.0,0,0.103,No,Residential,RI,1940,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Dar,7,45,003000,3,1,0,0,Yes,100.0,19900
sample_011530,0.0,parcel_006746,2016-01-21 15:59:47,"2309 Pierce St, Flint, MI 48503, USA",43.0178579,-83.659334,Private,16090,0,148900,CAPECOD,0.0,0,0.103,No,Residential,RI,1940,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Dar,7,45,003000,3,1,0,0,Yes,100.0,19900
sample_000227,0.0,parcel_003230,2015-10-06 12:07:35,"1806 E Webster Rd, Flint, MI 48505, USA",43.0668073,-83.6671724,Private,236000,0,0,,1113030.81,1,0.0,No,Commercial,CI,0,N,D-2,Green Neighborhood,GN-1, , ,Good,T.C.,3,14,001800,2,0,0,0,No,0.0,0
sample_011485,1.0,parcel_003230,2016-02-18 13:01:49,"1806 E Webster Rd, Flint, MI 48505, USA",43.0668073,-83.6671724,Private,236000,0,0,,1113030.81,1,0.0,No,Commercial,CI,0,N,D-2,Green Neighborhood,GN-1, , ,Good,T.C.,3,14,001800,2,0,0,0,No,0.0,0
sample_004380,0.0,parcel_009300,2015-10-06 12:07:53,"3201 Colorado Ave, Flint, MI 48506, USA",43.045186,-83.647734,Private,2987,0,79303,ONE STORY,0.0,0,0.209,No,Residential,RI,1954,N,A2,Traditional Neighborhood,TN-2,Fair,Good, ,T.C.,4,22,002400,2,1,0,0,Yes,100.0,9200
sample_013587,0.0,parcel_009300,2016-01-20 13:06:23,"3201 Colorado Ave, Flint, MI 48506, USA",43.045186,-83.647734,Private,2987,0,79303,ONE STORY,0.0,0,0.209,No,Residential,RI,1954,N,A2,Traditional Neighborhood,TN-2,Fair,Good, ,T.C.,4,22,002400,2,1,0,0,Yes,100.0,9200
sample_009390,0.0,parcel_001431,2015-10-06 12:08:18,"4307 Berger Dr, Flint, MI 48504, USA",43.0542152,-83.7200332,Private,1037,0,47662,ONE STORY,0.0,0,0.132,No,Residential,RI,1955,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,2,9,000500,3,1,0,0,Yes,100.0,7400
sample_005891,0.0,parcel_006906,2015-10-08 16:00:26,"1107 Beard St, Flint, MI 48503, USA",43.015731,-83.669413,Private,22500,0,138408,TWO STORY,0.0,0,0.115,No,Residential,RI,1929,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,7,42,003000,3,11,0,0,Yes,100.0,34200
sample_009783,1.0,parcel_006906,2015-10-08 16:00:30,"1107 Beard St, Flint, MI 48503, USA",43.015731,-83.669413,Private,22500,0,138408,TWO STORY,0.0,0,0.115,No,Residential,RI,1929,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,7,42,003000,3,11,0,0,Yes,100.0,34200
sample_008175,1.0,parcel_006906,2016-01-26 13:46:25,"1107 Beard St, Flint, MI 48503, USA",43.015731,-83.669413,Private,22500,0,138408,TWO STORY,0.0,0,0.115,No,Residential,RI,1929,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,7,42,003000,3,11,0,0,Yes,100.0,34200
sample_012345,0.0,parcel_003726,2015-10-08 16:00:55,"2013 Weaver St, Flint, MI 48506, USA",43.0501099,-83.663422,Private,6935,0,17285,ONE STORY,0.0,0,0.191,No,Residential,RI,1927,N,B,Green Neighborhood,GN-1,Fair,Good, ,Other,3,21,002300,2,1,0,0,Yes,100.0,13400
sample_017111,0.0,parcel_003726,2016-01-20 13:22:29,"2013 Weaver St, Flint, MI 48506, USA",43.0501099,-83.663422,Private,6935,0,17285,ONE STORY,0.0,0,0.191,No,Residential,RI,1927,N,B,Green Neighborhood,GN-1,Fair,Good, ,Other,3,21,002300,2,1,0,0,Yes,100.0,13400
sample_011683,0.0,parcel_002990,2015-10-08 16:00:58,"3447 Barth St, Flint, MI 48504, USA",43.035173,-83.745337,Private,1706,0,141102,TWO STORY,0.0,0,0.134,No,Residential,RI,1955,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,A.D.,2,12,001200,2,1,0,0,Yes,100.0,20200
sample_014010,0.0,parcel_002990,2016-01-29 12:44:26,"3447 Barth St, Flint, MI 48504, USA",43.035173,-83.745337,Private,1706,0,141102,TWO STORY,0.0,0,0.134,No,Residential,RI,1955,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,A.D.,2,12,001200,2,1,0,0,Yes,100.0,20200
sample_002151,0.0,parcel_010865,2015-10-08 16:01:07,"2309 Wisconsin Ave, Flint, MI 48506, USA",43.031237,-83.660293,Private,940,0,60800,ONE STORY,0.0,0,0.111,No,Residential,RI,1949,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,4,24,002600,5,1,0,0,Yes,100.0,7300
sample_003842,0.0,parcel_005985,2015-10-08 16:01:09,"3701 Woodrow Ave, Flint, MI 48506, USA",43.03798,-83.640309,Private,11305,0,15813,ONE STORY,0.0,0,0.137,No,Residential,RI,1955,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,T.C.,4,25,002700,2,1,0,0,Yes,100.0,16300
sample_002779,0.0,parcel_010847,2015-10-08 16:01:12,"3807 N Center Rd, Flint, MI 48506, USA",43.0490184,-83.6367763,Private,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,T.C.,4,22,002400,3,1,0,0,No,0.0,0
sample_009225,1.0,parcel_010847,2015-10-08 16:01:15,"3807 N Center Rd, Flint, MI 48506, USA",43.0490184,-83.6367763,Private,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,T.C.,4,22,002400,3,1,0,0,No,0.0,0
sample_000022,0.0,parcel_001084,2015-10-08 16:01:13,"3310 E Court St, Flint, MI 48506, USA",43.0179272,-83.643437,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,A2,Commerce & Employment,CE, , ,Good,A.D.,7,47,003100,2,0,0,0,No,0.0,0
sample_001710,0.0,parcel_003543,2015-10-08 16:01:16,"5813 Griggs Dr, Flint, MI 48504, USA",43.066092,-83.726884,Private,1080,0,52594,ONE STORY,0.0,0,0.124,No,Residential,RI,1958,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,T.C.,1,7,000300,1,1,0,0,No,0.0,0
sample_016991,0.0,parcel_003543,2016-01-21 13:36:37,"5813 Griggs Dr, Flint, MI 48504, USA",43.066092,-83.726884,Private,1080,0,52594,ONE STORY,0.0,0,0.124,No,Residential,RI,1958,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,T.C.,1,7,000300,1,1,0,0,No,0.0,0
sample_016624,0.0,parcel_006198,2015-10-08 16:01:25,"3810 Herrick St, Flint, MI 48532, USA",42.998453,-83.735953,Private,7000,0,16266,CAPECOD,0.0,0,0.11,No,Residential,RI,1953,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,8,48,003600,3,1,0,0,Yes,100.0,11600
sample_009938,0.0,parcel_006198,2016-01-29 12:43:33,"3810 Herrick St, Flint, MI 48532, USA",42.998453,-83.735953,Private,7000,0,16266,CAPECOD,0.0,0,0.11,No,Residential,RI,1953,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Other,8,48,003600,3,1,0,0,Yes,100.0,11600
sample_009105,0.0,parcel_008540,2015-10-13 14:29:40,"1101 Saginaw St, Flint, MI 48502, USA",43.0115152,-83.6849499,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,C-1,Downtown District,DC, , , ,Other,7,42,002800,2,5,0,1,No,0.0,0
sample_014547,1.0,parcel_008540,2015-10-13 14:29:57,"1101 Saginaw St, Flint, MI 48502, USA",43.0115152,-83.6849499,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,C-1,Downtown District,DC, , , ,Other,7,42,002800,2,5,0,1,No,0.0,0
sample_014025,0.0,parcel_008273,2015-10-13 14:29:44,"3713 Sherry Dr, Flint, MI 48506, USA",43.04852,-83.639384,Private,4000,0,20433,ONE STORY,0.0,0,0.115,No,Residential,RI,1962,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Mueller,4,22,002400,3,1,0,0,Yes,100.0,13100
sample_011481,0.0,parcel_008958,2015-10-13 14:29:45,"4123 Coggins Ave, Flint, MI 48506, USA",43.0514889,-83.65201,Private,5029,368,10498,ONE STORY,0.0,0,0.161,No,Residential,RI,0,N,A2,Traditional Neighborhood,TN-2,Good,Structurally Deficient, ,T.C.,4,20,001900,3,1,0,0,Yes,100.0,0
sample_013841,0.0,parcel_000054,2015-10-13 14:29:00,"3418 Gratiot Ave, Flint, MI 48503, USA",43.00955,-83.73066,Private,11250,322,14233,ONE STORY,0.0,0,0.103,No,Residential,RI,1939,N,A2,Traditional Neighborhood,TN-2,Fair,Good, ,A.D.,6,38,001600,4,1,0,0,Yes,100.0,13700
sample_014202,0.0,parcel_000942,2015-10-13 14:29:53,"3514 Brandon St, Flint, MI 48503, USA",42.9945612,-83.7320658,Private,18000,0,14085,ONE STORY,0.0,0,0.115,No,Residential,RI,1960,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,A.D.,8,50,003600,5,1,0,0,Yes,100.0,0
sample_009615,0.0,parcel_000942,2016-02-24 08:40:54,"3514 Brandon St, Flint, MI 48503, USA",42.9945612,-83.7320658,Private,18000,0,14085,ONE STORY,0.0,0,0.115,No,Residential,RI,1960,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,A.D.,8,50,003600,5,1,0,0,Yes,100.0,0
sample_001841,0.0,parcel_008029,2015-10-13 14:29:54,"336 Buckingham Ave, Flint, MI 48507, USA",42.987886,-83.670154,Private,7430,0,72042,CAPECOD,0.0,0,0.132,No,Residential,RI,1943,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Mueller,9,61,003500,2,5,0,1,Yes,100.0,10300
sample_014478,0.0,parcel_008029,2016-02-18 12:38:36,"336 Buckingham Ave, Flint, MI 48507, USA",42.987886,-83.670154,Private,7430,0,72042,CAPECOD,0.0,0,0.132,No,Residential,RI,1943,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Mueller,9,61,003500,2,5,0,1,Yes,100.0,10300
sample_013420,0.0,parcel_008029,2016-02-20 12:20:05,"336 Buckingham Ave, Flint, MI 48507, USA",42.987886,-83.670154,Private,7430,0,72042,CAPECOD,0.0,0,0.132,No,Residential,RI,1943,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Mueller,9,61,003500,2,5,0,1,Yes,100.0,10300
sample_015225,4.0,parcel_008029,2016-01-25 12:59:48,"336 Buckingham Ave, Flint, MI 48507, USA",42.987886,-83.670154,Private,7430,0,72042,CAPECOD,0.0,0,0.132,No,Residential,RI,1943,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Mueller,9,61,003500,2,5,0,1,Yes,100.0,10300
sample_004974,0.0,parcel_001761,2015-10-13 14:29:58,"1160 Dupont St, Flint, MI 48504, USA",43.0202091,-83.7121961,Private,33906,14675,0,,638532.1401,1,1.552,Yes,Commercial,CI,0,N,C-1,University Avenue Core,UC, , ,Good,Dar,5,32,001500,1,0,0,0,No,0.0,0
sample_013292,0.0,parcel_001761,2015-10-13 14:30:35,"1160 Dupont St, Flint, MI 48504, USA",43.0202091,-83.7121961,Private,33906,14675,0,,638532.1401,1,1.552,Yes,Commercial,CI,0,N,C-1,University Avenue Core,UC, , ,Good,Dar,5,32,001500,1,0,0,0,No,0.0,0
sample_004501,0.0,parcel_001656,2015-10-13 14:30:01,"414 Chalmers St, Flint, MI 48503, USA",43.0231459,-83.6570459,Private,21323,0,153091,TWO STORY,0.0,0,0.149,No,Residential,RI,1949,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,T.C.,7,44,003000,2,1,0,0,Yes,100.0,21600
sample_010853,0.0,parcel_004582,2015-10-13 14:30:07,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_003261,0.0,parcel_004582,2015-12-29 15:13:54,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_006839,0.0,parcel_004582,2016-02-12 13:02:19,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_000736,0.0,parcel_004582,2016-02-12 13:04:06,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_004714,0.0,parcel_004582,2016-02-12 13:04:07,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_006670,0.0,parcel_004582,2016-02-12 13:04:12,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_003414,0.0,parcel_004582,2016-02-12 13:04:13,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_001381,0.0,parcel_004582,2016-02-12 13:04:15,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_008389,0.0,parcel_004582,2016-02-12 13:04:20,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_014981,0.0,parcel_004582,2016-02-12 13:04:21,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_010468,0.0,parcel_004582,2016-02-12 13:05:41,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_006107,0.0,parcel_004582,2016-02-12 13:14:43,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_009375,0.0,parcel_004582,2016-02-12 13:15:09,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_005736,0.0,parcel_004582,2016-02-12 13:20:42,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_002835,0.0,parcel_004582,2016-02-12 13:44:04,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_014941,0.0,parcel_004582,2016-02-12 13:44:51,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_005284,0.0,parcel_004582,2016-02-12 13:44:53,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_015304,0.0,parcel_004582,2016-02-12 13:44:54,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_000911,0.0,parcel_004582,2016-02-12 13:44:57,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_011278,0.0,parcel_004582,2016-02-12 13:44:59,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_000272,0.0,parcel_004582,2016-02-12 13:45:09,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_009935,0.0,parcel_004582,2016-02-12 13:45:11,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_003983,0.0,parcel_004582,2016-02-12 13:45:14,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_013249,0.0,parcel_004582,2016-02-12 13:45:18,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_009903,0.0,parcel_004582,2016-02-12 13:45:23,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_012786,0.0,parcel_004582,2016-02-12 13:45:26,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_003145,0.0,parcel_004582,2016-02-12 13:45:27,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
sample_005670,0.0,parcel_004582,2016-02-12 13:45:29,"3800 Richfield Rd, Flint, MI 48506, USA",43.04988,-83.638079,Public,0,0,0,,0.0,0,0.0,No,Commercial,CI,0,N,D-3,Traditional Neighborhood,TN-2, , ,Good,Mueller,4,22,002400,3,0,0,0,No,0.0,0
